,Associated names,Authority,Bibliography,Culture/period,Curator's comments,Date,Denomination,Description,Inscriptions,Materials,Museum number,Object type,Production place,State,Subjects,Weight (g)
413,Portrait of: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 3309 (type),Roman Provincial,,27BC-14,drachm,"Silver coin.(obverse) Bare head of Augustus, right.","[{u'Inscription Content': u'ΛY', u'Inscription Transliteration': u'LU', u'Inscription Script': u'Greek', u'Inscription Language': u'Greek', u'Inscription Type': u'inscription', u'Inscription Position': u'obverse'}]",silver,"1868,0619.55",coin,Minted in: Masicytes (archaic),Roman Empire,musical instrument,3.33
414,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 13/9,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'PERM IMP CAESARIS AVG [P P]', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,G.3146,coin,Minted in: Emerita,Roman Empire,ploughing,11.27
415,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 305/9,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,G.3038,coin,Minted in: Caesaraugusta,Roman Empire,ploughing,14.61
416,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 260/19,Roman Provincial,,27BC-14,unit (?),"Copper alloy coin.(obverse) Bare head of Augustus, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST [DIVI F]', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,G.3024,coin,Minted in: Ilerda,Roman Empire,mammal,7.41
417,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 2008,Roman Provincial,,27BC-14,,"Alloy coin.(obverse) Head of Augustus, r.","[{u'Inscription Position': u'obverse', u'Inscription Type': u'inscription'}]",alloy,"1846,0910.146",coin,Minted in: Apamea,Roman Empire,emperor/empress,5.53
418,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 2008,Roman Provincial,,27BC-14,,"Alloy coin.(obverse) Head of Augustus, r.","[{u'Inscription Position': u'reverse', u'Inscription Type': u'inscription'}]",alloy,"1839,0919.53",coin,Minted in: Apamea,Roman Empire,emperor/empress,5.95
419,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 411/13,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVSTVS PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'MVN TVRIASO L MARIO L NOVIO', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,G.3053,coin,Minted in: Turiaso,Roman Empire,emperor/empress,11.22
420,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 322/8,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right; behind, simpulum; in front, lituus.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,G.3039,coin,Minted in: Caesaraugusta,Roman Empire,ploughing,11.14
421,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),"RIC1 159, p.52 (type)",Roman Provincial,,10-14 (about),dupondius,"Copper alloy coin.(obverse) Heads of Augustus, laureate (on right) and Agrippa, laureate and wearing rostral crown (on left), back to back.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP DIVI F P P', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,G.26,coin,Minted in: Nemausus,Roman Empire,reptile,12.73
422,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),"RIC1 159, p.52 (type)",Roman Provincial,,10-14 (about),dupondius,"Copper alloy coin.(obverse) Heads of Augustus, laureate (on right) and Agrippa, laureate and wearing rostral crown (on left), back to back.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP DIVI F P [P]', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,G.25,coin,Minted in: Nemausus,Roman Empire,reptile,11.47
423,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),"RIC1 159, p.52 (type)",Roman Provincial,,10-14 (about),dupondius,"Copper alloy coin.(obverse) Heads of Augustus, laureate (on right) and Agrippa, laureate and wearing rostral crown (on left), back to back.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP DIVI F P P', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,G.24,coin,Minted in: Nemausus,Roman Empire,reptile,12.97
424,Portrait of: Augustus (Octavian),Ruler:  Augustus (Octavian),"RE1 304, p.55",Roman Imperial,"Mint uncertain, possibly a coin of the mines?",27BC-14 (uncertain),as,"Copper alloy coin.(obverse) Head of Augustus, bare, left.","[{u'Inscription Content': u'S  C', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1911,0906.1",coin,Minted in: Spain (probably),Roman Empire,equestrian,10.2
425,,,,,,,,,,,,,,,,
426,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),,Roman Imperial,Moneyer uncertain.,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, bare, right.","[{u'Inscription Content': u'[...]OTES[...]', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Comment': u'clockwise', u'Inscription Type': u'inscription'}, {u'Inscription Content': u'[TI]B.AVG', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Comment': u'ligatured', u'Inscription Type': u'countermark'}, {u'Inscription Content': u'[...] VIR.A[.A.A.F.F.]', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Comment': u'clockwise', u'Inscription Type': u'inscription'}, {u'Inscription Content': u'S.C', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Comment': u'in centre', u'Inscription Type': u'inscription'}]",copper alloy,"1925,1007.10",coin,Minted in: Rome,Roman Empire,emperor/empress,9.58
427,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),"RIC1 159, p.52-161 (type)",Roman Provincial,,10-14 (about),dupondius,"Copper alloy coin; brockage.(obverse) Heads of Augustus, laureate (on right) and Agrippa, laureate and wearing rostral crown (on left), back to back.",[],copper alloy,"1867,0101.2252",brockage,Minted in: Nemausus,Roman Empire,politician/statesman,12.2
428,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 447/28,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP CAESAR AVGVSTVS P P', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1886,0605.13",coin,Minted in: Calagurris,Roman Empire,mammal,10.56
429,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 447/29,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP CAESAR AVGVSTVS P P', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1904,0501.5",coin,Minted in: Calagurris,Roman Empire,mammal,10.95
430,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 445/18,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'MV CAL I L VALENTINO [L] NOVO II VIR', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1909,0504.110",coin,Minted in: Calagurris,Roman Empire,mammal,12.83
431,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 445/17,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1914,0905.92",coin,Minted in: Calagurris,Roman Empire,mammal,13.44
432,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 445/19,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1937,0508.50",coin,Minted in: Calagurris,Roman Empire,mammal,11.92
433,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 445/34,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1842,0729.4",coin,Minted in: Calagurris,Roman Empire,mammal,9.97
434,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 445/33,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.36",coin,Minted in: Calagurris,Roman Empire,mammal,12.22
435,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 444/12,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1956,1208.33",coin,Minted in: Calagurris,Roman Empire,mammal,10.92
436,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 444/2,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST PATER PATRIA', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1909,0504.111",coin,Minted in: Calagurris,Roman Empire,mammal,12.48
437,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 444/24,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVST PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1914,0905.91",coin,Minted in: Calagurris,Roman Empire,mammal,12.79
438,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 442/22,Roman Provincial,,27BC-14,semis,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MV CAL AVGVSTVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1951,1006.13",coin,Minted in: Calagurris,Roman Empire,mammal,5.77
439,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 442/21,Roman Provincial,,27BC-14,semis,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MV CAL AVGVSTVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1909,0504.115",coin,Minted in: Calagurris,Roman Empire,mammal,6.15
440,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 441/46,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MV CAL IVLIA AVGVSTVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1909,0504.109",coin,Minted in: Calagurris,Roman Empire,mammal,10.48
441,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 441/45,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MV CAL IVLIA AVGVSTVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1847,0820.7",coin,Minted in: Calagurris,Roman Empire,mammal,13.03
442,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 441/44,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MV CAL IVLIA AVGVSTVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1847,1101.211",coin,Minted in: Calagurris,Roman Empire,mammal,11.04
443,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 441/41,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MV CAL IVLIA AVGVSTVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.35",coin,Minted in: Calagurris,Roman Empire,mammal,11.93
444,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 441/43,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MV CAL IVLIA AVGVSTVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1919,0213.1256",coin,Minted in: Calagurris,Roman Empire,mammal,12.85
445,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 440/19,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Bare head of Augustus, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MVN CAL IMP AVGVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1909,0504.108",coin,Minted in: Calagurris,Roman Empire,mammal,9.41
446,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 440/17,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Bare head of Augustus, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MVN CAL IMP AVGVS', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.34",coin,Minted in: Calagurris,Roman Empire,mammal,15.5
447,Portrait of: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 435/13,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Bare head of Augustus, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MVN CAL IVL', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1909,0504.107",coin,Minted in: Calagurris,Roman Empire,mammal,12.22
448,Portrait of: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 434/19,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Bare head of Augustus, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MVN CAL IVL', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1909,0504.106",coin,Minted in: Calagurris,Roman Empire,mammal,12.49
449,Portrait of: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 437/6,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Bare head of Augustus, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MVN CAL II VIR', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1937,0508.51",coin,Minted in: Calagurris,Roman Empire,mammal,8.55
450,Portrait of: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 438/17,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Bare head of Augustus, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'MVN CAL II VIR', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1937,0508.29",coin,Minted in: Calagurris,Roman Empire,mammal,9.96
451,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 411/14,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVSTVS PATER PATRIAE', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'MVN TVRIASO L MARIO L NOVIO', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1914,0905.268",coin,Minted in: Turiaso,Roman Empire,emperor/empress,11.94
452,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 410/4,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'[IM]P AVGVSTVS PATER [PATRIAE]', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'M[VN TVRIASO] L FENESTE L SERANO', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1954,1014.8",coin,Minted in: Turiaso,Roman Empire,emperor/empress,9.33
453,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 408/7,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'IMP AVGVSTVS P P', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'TVRIASO M CAECIL SEVERO C VAL AQVILO', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.50",coin,Minted in: Turiaso,Roman Empire,emperor/empress,13.54
454,Named in inscription & portrayed: Tiberius,Ruler:  Augustus (Octavian),RPC1 331/2,Roman Provincial,,10-14,semis,"Copper alloy coin.(obverse) Head of Augustus, laureate, left.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVS[TVS] C C A', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.58",coin,Minted in: Caesaraugusta,Roman Empire,emperor/empress,5.68
455,Named in inscription & portrayed: Tiberius,Ruler:  Augustus (Octavian),RPC1 330/6,Roman Provincial,,10-14,semis,"Copper alloy coin.(obverse) Head of Augustus, laureate, left.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS C C A', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.57",coin,Minted in: Caesaraugusta,Roman Empire,emperor/empress,6.03
456,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 328/18,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, left.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1909,0504.100",coin,Minted in: Caesaraugusta,Roman Empire,mammal,8.65
457,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 328/7,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, left.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1951,1006.7",coin,Minted in: Caesaraugusta,Roman Empire,mammal,12.05
458,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 327/13,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1919,0213.1263",coin,Minted in: Caesaraugusta,Roman Empire,mammal,13.41
459,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 311/6,Roman Provincial,,27BC-14,semis,"Copper alloy coin.(obverse) Head of Augustus, laureate, left.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'CAESARAVGVSTA L CASSIO C VAL FEN', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1914,0905.74",coin,Minted in: Caesaraugusta,Roman Empire,flag/pennant,7.21
460,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 305/10,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.55",coin,Minted in: Caesaraugusta,Roman Empire,ploughing,10.91
461,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 305/7,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS [DIVI F]', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1914,0905.73",coin,Minted in: Caesaraugusta,Roman Empire,ploughing,13.64
462,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 286/9,Roman Provincial,,2BC-14,semis,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'COMPOSTO ET MARVLLO II VIR', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.31",coin,Minted in: Osca,Roman Empire,emperor/empress,6.43
463,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 285/10,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F PONT MAX PATER PATRIAI', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1930,0702.45",coin,Minted in: Osca,Roman Empire,equestrian,11.77
464,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 288/1,Roman Provincial,,2BC-14,semis,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'[AVGVSTVS DIVI F]', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'SPARSO ET CAECILIANO II VIR', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1921,1002.27",coin,Minted in: Osca,Roman Empire,emperor/empress,6.54
465,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 287/8,Roman Provincial,,2BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F PONT MAX PATER PATRIAI', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1914,0905.217",coin,Minted in: Osca,Roman Empire,equestrian,12.56
466,Named in inscription & portrayed: Augustus (Octavian),Ruler:  Augustus (Octavian),RPC1 284/14,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'AVGVSTVS DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'M QVINCTIO Q AELIO II VIR', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1914,0905.221",coin,Minted in: Osca,Roman Empire,equestrian,9.61
467,Named in inscription & portrayed: Augustus,Ruler:  Augustus (Octavian),RPC1 284/13,Roman Provincial,,27BC-14,as,"Copper alloy coin.(obverse) Head of Augustus, laureate, right.","[{u'Inscription Script': u'Latin', u'Inscription Content': u'[AVGVSTVS] DIVI F', u'Inscription Position': u'obverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}, {u'Inscription Script': u'Latin', u'Inscription Content': u'M QVINCTIO Q AELIO II VIR', u'Inscription Position': u'reverse', u'Inscription Language': u'Latin', u'Inscription Type': u'inscription'}]",copper alloy,"1928,1004.30",coin,Minted in: Osca,Roman Empire,equestrian,11.78
